"MonitorDate","Country","CaseCount","DeathCount","PeriodToDateCaseCount","PeriodToDateDeathCount","Population","CountryCode","Source"
"4/14/2021 12:00:00 AM","Ghana","67","2","91477","763","29767108","GHA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Greece","3081","81","304184","9135","10727668","GRC","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Grenada","0","0","155","1","111454","GRD","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Guatemala","1805","32","207127","7089","17247807","GTM","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Guinea","193","0","21299","136","12414318","GIN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Guinea-Bissau","1","0","3694","66","1874309","GNB","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Guyana","97","2","11374","260","779004","GUY","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Haiti","0","0","12855","251","11123176","HTI","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Honduras","1510","32","198214","4905","9587522","HND","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Hungary","3597","285","731675","24265","9768785","HUN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Iceland","1","0","6275","29","353574","ISL","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","India","200739","1038","14074564","173123","1352617328","IND","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Indonesia","5656","124","1583182","42906","267663435","IDN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Iran, Islamic Rep.","25582","304","2143794","65359","81800269","IRN","Covid19DataVault"
"4/14/2021 12:00:00 AM","Iraq","7972","40","949050","14836","38433600","IRQ","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Ireland","421","9","242105","4812","4853506","IRL","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Israel","256","3","836590","6312","8883800","ISR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Italy","16160","469","3809193","115557","60431283","ITA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Jamaica","130","10","43054","692","2934855","JAM","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Japan","5482","49","517281","9471","126529100","JPN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Jordan","4085","50","676175","7987","9956011","JOR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Kazakhstan","2726","5","330319","3281","18276499","KAZ","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Kenya","981","26","148128","2420","51393010","KEN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Kosovo","1195","26","99210","2030","1845300","XKX","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Kuwait","1402","4","251675","1423","4137309","KWT","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Kyrgyz Republic","240","2","90839","1534","6315800","KGZ","Covid19DataVault"
"4/14/2021 12:00:00 AM","Latvia","733","17","109088","2019","1926542","LVA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Lebanon","2460","40","502299","6778","6848925","LBN","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Liberia","0","0","2042","85","4818977","LBR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Libya","541","4","170045","2834","6678567","LBY","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Liechtenstein","2","0","2770","56","37910","LIE","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Lithuania","1371","5","229260","3718","2789533","LTU","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Luxembourg","272","7","64334","784","607728","LUX","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","North Macedonia","949","33","144111","4322","2082958","MKD","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Madagascar","583","8","29348","520","26262368","MDG","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Malawi","19","1","33891","1134","18143315","MWI","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Malaysia","1889","8","365829","1353","31528585","MYS","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Maldives","85","0","25844","67","515696","MDV","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Mali","288","2","12467","419","19077690","MLI","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Malta","58","0","29778","403","483530","MLT","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Mauritania","14","1","18066","452","4403319","MRT","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Mauritius","3","0","1201","15","1265303","MUS","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Mexico","4894","530","2291246","210812","126190788","MEX","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Moldova","1001","28","243365","5466","3545883","MDA","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Monaco","6","0","2384","31","38682","MCO","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Mongolia","742","2","18565","31","3170208","MNG","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Montenegro","216","14","94859","1405","622345","MNE","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Morocco","703","5","503664","8920","36029138","MAR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Mozambique","56","0","68927","794","29495962","MOZ","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Myanmar","9","0","142605","3206","53708395","MMR","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Namibia","102","6","46051","592","2448255","NAM","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Nepal","580","3","281564","3061","28087871","NPL","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Netherlands","5582","30","1393543","17048","17231017","NLD","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","New Zealand","2","0","2591","26","4885500","NZL","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
"4/14/2021 12:00:00 AM","Nicaragua","0","0","6778","180","6465513","NIC","https://covid.ourworldindata.org/data/ecdc/full_data.csv"
