"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"CHL","South America","Chile","2021-11-10","1715352.0","2164.0","2275.0","37895.0","12.0","15.0","89283.764","112.636","118.413","1972.428","0.625","0.781","60064.0","23940997.0","1246.125","3.126","67947.0","3.537","29.9","0.033","tests performed","","19212362.0","24.282","35.4","11.087","6.938","22767.037","1.3","127.993","8.46","34.2","41.5","","","80.18"
"CHL","South America","Chile","2021-11-11","1718085.0","2733.0","2395.571","37917.0","22.0","17.429","89426.016","142.252","124.689","1973.573","1.145","0.907","83614.0","24024611.0","1250.477","4.352","71823.0","3.738","30.0","0.033","tests performed","","19212362.0","24.282","35.4","11.087","6.938","22767.037","1.3","127.993","8.46","34.2","41.5","","","80.18"
"CHL","South America","Chile","2021-11-12","1721025.0","2940.0","2457.0","37936.0","19.0","17.429","89579.043","153.026","127.886","1974.562","0.989","0.907","","","","","","","","","","","19212362.0","24.282","35.4","11.087","6.938","22767.037","1.3","127.993","8.46","34.2","41.5","","","80.18"
"CHN","Asia","China","2021-11-10","98080.0","64.0","68.0","4636.0","0.0","0.0","67.912","0.044","0.047","3.21","0.0","0.0","","","","","","","","","","","1444216102.0","147.674","38.7","10.641","5.929","15308.712","0.7","261.899","9.74","1.9","48.4","","","76.91"
"CHN","Asia","China","2021-11-11","98176.0","96.0","70.571","4636.0","0.0","0.0","67.979","0.066","0.049","3.21","0.0","0.0","","","","","","","","","","","1444216102.0","147.674","38.7","10.641","5.929","15308.712","0.7","261.899","9.74","1.9","48.4","","","76.91"
"CHN","Asia","China","2021-11-12","98251.0","75.0","72.714","4636.0","0.0","0.0","68.031","0.052","0.05","3.21","0.0","0.0","","","","","","","","","","","1444216102.0","147.674","38.7","10.641","5.929","15308.712","0.7","261.899","9.74","1.9","48.4","","","76.91"
"COL","South America","Colombia","2021-11-10","5021619.0","2461.0","2074.286","127640.0","30.0","37.143","97952.533","48.005","40.461","2489.767","0.585","0.725","46249.0","27153610.0","529.663","0.902","42712.0","0.833","18.5","0.054","tests performed","","51265841.0","44.223","32.2","7.646","4.312","13254.949","4.5","124.24","7.44","4.7","13.5","65.386","","77.29"
"COL","South America","Colombia","2021-11-11","5024263.0","2644.0","2179.429","127680.0","40.0","37.571","98004.108","51.574","42.512","2490.547","0.78","0.733","51299.0","27204909.0","530.663","1.001","44200.0","0.862","18.2","0.055","tests performed","","51265841.0","44.223","32.2","7.646","4.312","13254.949","4.5","124.24","7.44","4.7","13.5","65.386","","77.29"
"COL","South America","Colombia","2021-11-12","5026822.0","2559.0","2262.857","127721.0","41.0","37.857","98054.024","49.916","44.14","2491.347","0.8","0.738","","","","","","","","","","","51265841.0","44.223","32.2","7.646","4.312","13254.949","4.5","124.24","7.44","4.7","13.5","65.386","","77.29"
"COM","Africa","Comoros","2021-11-10","4349.0","17.0","9.714","147.0","0.0","0.0","4895.009","19.134","10.934","165.456","0.0","0.0","","","","","","","","","","","888456.0","437.352","20.4","2.963","1.726","1413.89","18.1","261.516","11.88","4.4","23.6","15.574","","64.32"
"COM","Africa","Comoros","2021-11-11","4352.0","3.0","8.714","148.0","1.0","0.143","4898.386","3.377","9.808","166.581","1.126","0.161","","","","","","","","","","","888456.0","437.352","20.4","2.963","1.726","1413.89","18.1","261.516","11.88","4.4","23.6","15.574","","64.32"
"COG","Africa","Congo","2021-11-10","18153.0","0.0","69.0","309.0","0.0","4.429","3208.935","0.0","12.197","54.622","0.0","0.783","","","","","","","","","","","5657017.0","15.405","19.0","3.402","2.063","4881.406","37.0","344.094","7.2","1.7","52.3","47.964","","64.57"
"COG","Africa","Congo","2021-11-11","18153.0","0.0","29.857","309.0","0.0","1.714","3208.935","0.0","5.278","54.622","0.0","0.303","","","","","","","","","","","5657017.0","15.405","19.0","3.402","2.063","4881.406","37.0","344.094","7.2","1.7","52.3","47.964","","64.57"
"COG","Africa","Congo","2021-11-12","18153.0","0.0","29.857","309.0","0.0","1.714","3208.935","0.0","5.278","54.622","0.0","0.303","","","","","","","","","","","5657017.0","15.405","19.0","3.402","2.063","4881.406","37.0","344.094","7.2","1.7","52.3","47.964","","64.57"
"COM","Africa","Comoros","2021-11-12","4363.0","11.0","9.0","149.0","1.0","0.286","4910.767","12.381","10.13","167.707","1.126","0.322","","","","","","","","","","","888456.0","437.352","20.4","2.963","1.726","1413.89","18.1","261.516","11.88","4.4","23.6","15.574","","64.32"
"CRI","North America","Costa Rica","2021-11-10","563290.0","0.0","265.429","7176.0","0.0","9.286","109609.689","0.0","51.649","1396.366","0.0","1.807","","","","","","","","","","","5139053.0","96.079","33.6","9.468","5.694","15524.995","1.3","137.973","8.78","6.4","17.4","83.841","","80.28"
"CRI","North America","Costa Rica","2021-11-11","563924.0","634.0","299.286","7190.0","14.0","9.429","109733.058","123.369","58.238","1399.09","2.724","1.835","","","","","","","","","","","5139053.0","96.079","33.6","9.468","5.694","15524.995","1.3","137.973","8.78","6.4","17.4","83.841","","80.28"
"CRI","North America","Costa Rica","2021-11-12","564159.0","235.0","263.286","7197.0","7.0","9.0","109778.786","45.728","51.232","1400.453","1.362","1.751","","","","","","","","","","","5139053.0","96.079","33.6","9.468","5.694","15524.995","1.3","137.973","8.78","6.4","17.4","83.841","","80.28"
"CIV","Africa","Cote d'Ivoire","2021-11-10","61458.0","16.0","18.286","700.0","0.0","0.571","2271.71","0.591","0.676","25.875","0.0","0.021","2773.0","1111876.0","41.099","0.103","2229.0","0.082","121.9","0.008","samples tested","","27053629.0","76.399","18.7","2.933","1.582","3601.006","28.2","303.74","2.42","","","19.351","","57.78"
"CIV","Africa","Cote d'Ivoire","2021-11-11","61486.0","28.0","16.571","700.0","0.0","0.571","2272.745","1.035","0.613","25.875","0.0","0.021","","","","","","","","","","","27053629.0","76.399","18.7","2.933","1.582","3601.006","28.2","303.74","2.42","","","19.351","","57.78"
"CIV","Africa","Cote d'Ivoire","2021-11-12","61486.0","0.0","14.143","700.0","0.0","0.286","2272.745","0.0","0.523","25.875","0.0","0.011","","","","","","","","","","","27053629.0","76.399","18.7","2.933","1.582","3601.006","28.2","303.74","2.42","","","19.351","","57.78"
"HRV","Europe","Croatia","2021-11-10","514850.0","7315.0","5431.143","9655.0","50.0","46.143","126137.498","1792.164","1330.622","2365.461","12.25","11.305","","","","","11535.0","2.826","2.1","0.471","people tested","","4081657.0","73.726","44.0","19.724","13.053","22669.797","0.7","253.782","5.59","34.3","39.9","","","78.49"
"HRV","Europe","Croatia","2021-11-11","521837.0","6987.0","5527.857","9721.0","66.0","51.0","127849.302","1711.805","1354.317","2381.631","16.17","12.495","","","","","12224.0","2.995","2.2","0.452","people tested","","4081657.0","73.726","44.0","19.724","13.053","22669.797","0.7","253.782","5.59","34.3","39.9","","","78.49"
"HRV","Europe","Croatia","2021-11-12","528286.0","6449.0","5458.857","9774.0","53.0","53.429","129429.298","1579.996","1337.412","2394.616","12.985","13.09","","3246065.0","795.281","","12912.0","3.163","","","people tested","","4081657.0","73.726","44.0","19.724","13.053","22669.797","0.7","253.782","5.59","34.3","39.9","","","78.49"
"CUB","North America","Cuba","2021-11-10","957332.0","413.0","511.714","8274.0","4.0","3.429","84588.661","36.492","45.214","731.08","0.353","0.303","","","","","","","","","","","11317498.0","110.408","43.1","14.738","9.719","","","190.968","8.27","17.1","53.3","85.198","","78.8"
"CUB","North America","Cuba","2021-11-11","957735.0","403.0","484.714","8278.0","4.0","3.714","84624.269","35.609","42.829","731.434","0.353","0.328","","","","","","","","","","","11317498.0","110.408","43.1","14.738","9.719","","","190.968","8.27","17.1","53.3","85.198","","78.8"
"CUB","North America","Cuba","2021-11-12","958097.0","362.0","449.857","8279.0","1.0","3.143","84656.255","31.986","39.749","731.522","0.088","0.278","","","","","","","","","","","11317498.0","110.408","43.1","14.738","9.719","","","190.968","8.27","17.1","53.3","85.198","","78.8"
