"monitor_date","county_name","state_name","region","subregion","fips","latitude","longitude","case_count_to_date","death_count_to_date","case_count","death_count","previous_monitor_date","population_year","population","source"
"5/1/2021 12:00:00 AM","Collingsworth County","Texas","South","West South Central","48087","34.963358","-100.272135 ","323","9","0","0","4/30/2021 12:00:00 AM","2019","2920","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Wichita County","Kansas","Midwest","West North Central","20203","38.481922","-101.347434 ","216","6","0","0","4/30/2021 12:00:00 AM","2019","2119","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","White Pine County","Nevada","West","Mountain","32033","39.418176","-114.900565 ","594","6","0","0","4/30/2021 12:00:00 AM","2019","9580","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Tattnall County","Georgia","South","South Atlantic","13267","32.043768","-82.059208 ","2307","65","2","0","4/30/2021 12:00:00 AM","2019","25286","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Rockingham County","Virginia","South","South Atlantic","51165","38.507585","-78.885321 ","6682","105","6","0","4/30/2021 12:00:00 AM","2019","81948","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Sully County","South Dakota","Midwest","West North Central","46119","44.722325","-100.131399 ","142","3","0","0","4/30/2021 12:00:00 AM","2019","1391","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Plumas County","California","West","Pacific","06063","39.992295","-120.824371 ","700","6","0","0","4/30/2021 12:00:00 AM","2019","18807","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Franklin Parish","Louisiana","South","West South Central","22041","32.139076","-91.672371 ","2477","105","0","0","4/30/2021 12:00:00 AM","2019","20015","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Middlesex County","Virginia","South","South Atlantic","51119","37.606975","-76.528082 ","569","20","0","0","4/30/2021 12:00:00 AM","2019","10582","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hamilton County","Kansas","Midwest","West North Central","20075","37.995244","-101.793689 ","202","1","0","0","4/30/2021 12:00:00 AM","2019","2539","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","East Baton Rouge Parish","Louisiana","South","West South Central","22033","30.54393","-91.093131 ","39099","799","0","0","4/30/2021 12:00:00 AM","2019","440059","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Steele County","North Dakota","Midwest","West North Central","38091","47.451062","-97.71892 ","181","2","0","0","4/30/2021 12:00:00 AM","2019","1890","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Hardin County","Ohio","Midwest","East North Central","39065","40.660415","-83.664077 ","2691","64","1","0","4/30/2021 12:00:00 AM","2019","31365","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Gunnison County","Colorado","West","Mountain","08051","38.670499","-107.05688 ","1324","6","2","0","4/30/2021 12:00:00 AM","2019","17462","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Appomattox County","Virginia","South","South Atlantic","51011","37.370725","-78.81094 ","1583","24","4","0","4/30/2021 12:00:00 AM","2019","15911","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Jefferson Davis Parish","Louisiana","South","West South Central","22053","30.269529","-92.816221 ","3149","96","0","0","4/30/2021 12:00:00 AM","2019","31368","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Benton County","Missouri","Midwest","West North Central","29015","38.301036","-93.287942 ","1654","33","1","1","4/30/2021 12:00:00 AM","2019","19443","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Lowndes County","Georgia","South","South Atlantic","13185","30.833145","-83.268995 ","12613","208","6","0","4/30/2021 12:00:00 AM","2019","117406","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Wagoner County","Oklahoma","South","West South Central","40145","35.963388","-95.514201 ","8027","113","0","0","4/30/2021 12:00:00 AM","2019","81289","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Monroe County","Illinois","Midwest","East North Central","17133","38.277983","-90.179078 ","4343","91","3","0","4/30/2021 12:00:00 AM","2019","34637","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","LaGrange County","Indiana","Midwest","East North Central","18087","41.642462","-85.427845 ","2631","72","8","0","4/30/2021 12:00:00 AM","2019","39614","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Grand County","Utah","West","Mountain","49019","38.974326","-109.57345 ","901","3","13","0","4/30/2021 12:00:00 AM","2019","9754","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Avery County","North Carolina","South","South Atlantic","37011","36.07209","-81.920285 ","2095","20","0","0","4/30/2021 12:00:00 AM","2019","17557","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Muhlenberg County","Kentucky","South","East South Central","21177","37.213816","-87.134092 ","2919","61","2","0","4/30/2021 12:00:00 AM","2019","30622","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Dubuque County","Iowa","Midwest","West North Central","19061","42.463481","-90.878771 ","13289","207","10","0","4/30/2021 12:00:00 AM","2019","97311","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Newberry County","South Carolina","South","South Atlantic","45071","34.289881","-81.599676 ","4958","101","44","0","4/30/2021 12:00:00 AM","2019","38440","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Pope County","Arkansas","South","West South Central","05115","35.456557","-93.026818 ","8023","107","6","0","4/30/2021 12:00:00 AM","2019","64072","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Van Zandt County","Texas","South","West South Central","48467","32.558787","-95.836906 ","4268","117","0","0","4/30/2021 12:00:00 AM","2019","56590","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Wayne County","Tennessee","South","East South Central","47181","35.242847","-87.819843 ","2948","35","0","0","4/30/2021 12:00:00 AM","2019","16673","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Boyle County","Kentucky","South","East South Central","21021","37.618104","-84.868352 ","3399","70","6","0","4/30/2021 12:00:00 AM","2019","30060","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Lewis County","Missouri","Midwest","West North Central","29111","40.084559","-91.728803 ","1014","13","1","0","4/30/2021 12:00:00 AM","2019","9776","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Clinch County","Georgia","South","South Atlantic","13065","30.917653","-82.702614 ","971","26","1","0","4/30/2021 12:00:00 AM","2019","6618","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Baker County","Georgia","South","South Atlantic","13007","31.31958","-84.454881 ","230","9","0","0","4/30/2021 12:00:00 AM","2019","3038","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Park County","Colorado","West","Mountain","08093","39.118914","-105.717648 ","737","5","3","0","4/30/2021 12:00:00 AM","2019","18845","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Bell County","Kentucky","South","East South Central","21013","36.728928","-83.680718 ","3084","54","3","1","4/30/2021 12:00:00 AM","2019","26032","NYTIMES-USCENSUS"
"5/1/2021 12:00:00 AM","Pinal County","Arizona","West","Mountain","04021","32.918521","-111.36634 ","51392","872","76","1","4/30/2021 12:00:00 AM","2019","462789","NYTIMES-USCENSUS"
