"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"DMA","North America","Dominica","2021-04-20","165.0","0.0","0.0","","","0.0","2291.953","0.0","0.0","","","0.0","","","","","","","","","","","71991.0","98.567","","","","9673.367","","227.376","11.62","","","","","75.0"
"DMA","North America","Dominica","2021-04-21","172.0","7.0","1.0","","","0.0","2389.188","97.234","13.891","","","0.0","","","","","","","","","","","71991.0","98.567","","","","9673.367","","227.376","11.62","","","","","75.0"
"CYP","Europe","Cyprus","2021-04-20","58022.0","941.0","767.143","295.0","1.0","3.0","66242.797","1074.325","875.835","336.797","1.142","3.425","","","","","","","","","","","875899.0","127.657","37.3","13.416","8.563","32415.132","","141.171","9.24","19.6","52.7","","","80.98"
"CYP","Europe","Cyprus","2021-04-21","58865.0","843.0","801.571","295.0","0.0","2.571","67205.237","962.44","915.141","336.797","0.0","2.936","","","","","","","","","","","875899.0","127.657","37.3","13.416","8.563","32415.132","","141.171","9.24","19.6","52.7","","","80.98"
"CZE","Europe","Czechia","2021-04-19","1602711.0","830.0","3075.286","28532.0","106.0","87.714","149660.444","77.505","287.169","2664.306","9.898","8.191","199427.0","","","18.622","152060.0","14.199","50.0","0.02","tests performed","","10708982.0","137.176","43.3","19.027","11.58","32605.906","","227.485","6.82","30.5","38.3","","","79.38"
"CZE","Europe","Czechia","2021-04-20","1606030.0","3319.0","2999.0","28640.0","108.0","86.0","149970.371","309.927","280.045","2674.391","10.085","8.031","","","","","","","","","","","10708982.0","137.176","43.3","19.027","11.58","32605.906","","227.485","6.82","30.5","38.3","","","79.38"
"CZE","Europe","Czechia","2021-04-21","1609861.0","3831.0","2819.571","28711.0","71.0","83.857","150328.108","357.737","263.29","2681.02","6.63","7.831","","","","","","","","","","","10708982.0","137.176","43.3","19.027","11.58","32605.906","","227.485","6.82","30.5","38.3","","","79.38"
"COD","Africa","Democratic Republic of Congo","2021-04-19","28956.0","0.0","59.143","745.0","0.0","0.0","323.309","0.0","0.66","8.318","0.0","0.0","","","","","","","","","","","89561404.0","35.879","17.0","3.02","1.745","808.133","77.1","318.949","6.1","","","4.472","","60.68"
"COD","Africa","Democratic Republic of Congo","2021-04-20","29084.0","128.0","59.857","748.0","3.0","0.429","324.738","1.429","0.668","8.352","0.033","0.005","","","","","","","","","","","89561404.0","35.879","17.0","3.02","1.745","808.133","77.1","318.949","6.1","","","4.472","","60.68"
"COD","Africa","Democratic Republic of Congo","2021-04-21","29233.0","149.0","74.143","748.0","0.0","0.429","326.402","1.664","0.828","8.352","0.0","0.005","","","","","","","","","","","89561404.0","35.879","17.0","3.02","1.745","808.133","77.1","318.949","6.1","","","4.472","","60.68"
"DNK","Europe","Denmark","2021-04-19","244067.0","741.0","724.143","2460.0","4.0","2.286","42137.163","127.931","125.02","424.709","0.691","0.395","","","","","","","","","","64.81","5792203.0","136.52","42.3","19.677","12.325","46682.515","0.2","114.767","6.41","19.3","18.8","","","80.9"
"DNK","Europe","Denmark","2021-04-20","244759.0","692.0","742.571","2464.0","4.0","2.429","42256.634","119.471","128.202","425.399","0.691","0.419","","","","","","","","","","64.81","5792203.0","136.52","42.3","19.677","12.325","46682.515","0.2","114.767","6.41","19.3","18.8","","","80.9"
"DNK","Europe","Denmark","2021-04-21","245562.0","803.0","762.429","2466.0","2.0","2.571","42395.268","138.635","131.63","425.745","0.345","0.444","","","","","","","","","","","5792203.0","136.52","42.3","19.677","12.325","46682.515","0.2","114.767","6.41","19.3","18.8","","","80.9"
"DJI","Africa","Djibouti","2021-04-19","10510.0","50.0","76.429","119.0","3.0","2.714","10637.63","50.607","77.357","120.445","3.036","2.747","","","","","","","","","","","988002.0","41.285","25.4","4.213","2.38","2705.406","22.5","258.037","6.05","1.7","24.5","","","67.11"
"DJI","Africa","Djibouti","2021-04-21","10633.0","76.0","61.571","129.0","6.0","3.286","10762.124","76.923","62.319","130.567","6.073","3.326","","","","","","","","","","","988002.0","41.285","25.4","4.213","2.38","2705.406","22.5","258.037","6.05","1.7","24.5","","","67.11"
"DOM","North America","Dominican Republic","2021-04-19","261531.0","402.0","498.857","3422.0","4.0","4.286","24108.897","37.058","45.987","315.453","0.369","0.395","","","","","","","","","","70.37","10847904.0","222.873","27.6","6.981","4.419","14600.861","1.6","266.653","8.2","8.5","19.1","55.182","","74.08"
"DOM","North America","Dominican Republic","2021-04-20","261848.0","317.0","458.714","3426.0","4.0","4.143","24138.119","29.222","42.286","315.821","0.369","0.382","","","","","","","","","","","10847904.0","222.873","27.6","6.981","4.419","14600.861","1.6","266.653","8.2","8.5","19.1","55.182","","74.08"
"OWID_EUN","","European Union","2021-04-21","29740141.0","153423.0","129969.857","669198.0","2890.0","2397.143","66843.936","344.834","292.12","1504.089","6.496","5.388","","","","","","","","","","","444919060.0","","","","","","","","","","","","",""
"FRO","Europe","Faeroe Islands","2021-04-19","","","","","","","","","","","","","","","","","","","","","","","48865.0","35.308","","","","","","","","","","","","80.67"
"FRO","Europe","Faeroe Islands","2021-04-20","","","","","","","","","","","","","","","","","","","","","","","48865.0","35.308","","","","","","","","","","","","80.67"
"FRO","Europe","Faeroe Islands","2021-04-21","","","","","","","","","","","","","","","","","","","","","","","48865.0","35.308","","","","","","","","","","","","80.67"
"FJI","Oceania","Fiji","2021-04-19","72.0","0.0","0.571","2.0","0.0","0.0","80.317","0.0","0.637","2.231","0.0","0.0","","","","","","","","","","53.7","896444.0","49.562","28.6","6.224","3.284","8702.975","1.4","412.82","14.49","10.2","34.8","","","67.44"
"DOM","North America","Dominican Republic","2021-04-21","262404.0","556.0","449.143","3435.0","9.0","4.714","24189.373","51.254","41.404","316.651","0.83","0.435","","","","","","","","","","","10847904.0","222.873","27.6","6.981","4.419","14600.861","1.6","266.653","8.2","8.5","19.1","55.182","","74.08"
"ECU","South America","Ecuador","2021-04-19","360563.0","17.0","1927.571","17703.0","0.0","57.857","20436.534","0.964","109.254","1003.397","0.0","3.279","","","","","","","","","","","17643060.0","66.939","28.1","7.104","4.458","10581.936","3.6","140.448","5.55","2.0","12.3","80.635","","77.01"
"ECU","South America","Ecuador","2021-04-20","361154.0","591.0","1937.857","17744.0","41.0","56.143","20470.032","33.498","109.837","1005.721","2.324","3.182","","","","","","","","","","","17643060.0","66.939","28.1","7.104","4.458","10581.936","3.6","140.448","5.55","2.0","12.3","80.635","","77.01"
"ECU","South America","Ecuador","2021-04-21","362843.0","1689.0","1757.714","17804.0","60.0","57.714","20565.764","95.732","99.626","1009.122","3.401","3.271","","","","","","","","","","","17643060.0","66.939","28.1","7.104","4.458","10581.936","3.6","140.448","5.55","2.0","12.3","80.635","","77.01"
